Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,"ACCESS Newswire Inc. Common Stock",$7.52,0.51,7.275%,29,093,572,"",,,"",""
COHN,"Cohen & Company Inc.",$14.9099,0.6149,4.302%,27,600,685,"",,,"",""
AEON,"AEON Biopharma, Inc. Class A Common Stock",$1.09,-0.06,-5.217%,27,580,333,"",,,"",""
CCEL,"Cryo-Cell International, Inc. Common Stock",$3.41,0.04,1.187%,27,468,062,"",,,"",""
IGC,"IGC Pharma, Inc. Common Stock",$0.2848,-0.0053,-1.827%,27,288,973,"",,,"",""
AUST,"Austin Gold Corp. Common Shares",$2.05,0.02,0.985%,27,207,088,"",,,"",""
VNTG,"Vantage Corp Class A Ordinary Shares",$0.835,-0.005,-0.595%,26,500,813,"",,,"",""
JOB,"GEE Group Inc. Common Stock",$0.2385,-0.0003,-0.126%,26,204,159,"",,,"",""
CKX,"CKX Lands, Inc. Common Stock",$11.00,0.2874,2.683%,22,584,419,"",,,"",""
TOPS,"TOP Ships, Inc. Common Stock",$4.84,0.07,1.468%,22,390,793,"",,,"",""
MXC,"Mexco Energy Corporation Common Stock",$10.81,0.30,2.854%,22,117,260,"",,,"",""
NNVC,"NanoViricides, Inc. Common Stock",$1.00,-0.03,-2.913%,21,595,000,"",,,"",""
RYDE,"Ryde Group Ltd. Class A Ordinary Shares",$0.2396,0.0106,4.629%,21,158,555,"",,,"",""
EONR,"EON Resources Inc. Class A Common Stock",$0.4136,0.0154,3.867%,20,666,907,"",,,"",""
MLSS,"Milestone Scientific, Inc. Common Stock",$0.2615,-0.0031,-1.172%,20,561,461,"",,,"",""
RGNT,"Regentis Biomaterials Ltd. Ordinary Shares",$3.94,-0.09,-2.233%,20,406,749,"",,,"",""
MYND,"Mynd.ai, Inc. American Depositary Shares",$0.445,-0.011,-2.412%,20,313,263,"",,,"",""
PLAG,"Planet Green Holdings Corp. Common Stock",$2.15,-0.306,-12.459%,20,172,835,"",,,"",""
RVP,"Retractable Technologies, Inc. Common Stock",$0.668,0.006,0.906%,19,998,022,"",,,"",""
SER,"Serina Therapeutics, Inc. Common Stock",$1.81,0.04,2.26%,19,521,871,"",,,"",""
CHOW,"ChowChow Cloud International Holdings Limited Ordinary Shares",$0.556,-0.008,-1.418%,19,515,600,"",,,"",""
TMDE,"TMD Energy Limited Ordinary Shares",$0.8276,0.0241,2.999%,19,502,394,"",,,"",""
PAPL,"Pineapple Financial Inc. Common Stock",$0.6964,-0.0323,-4.433%,18,168,137,"",,,"",""
LGPS,"LogProstyle Inc. Common Shares",$0.761,0.0009,0.118%,17,999,256,"",,,"",""
MMA,"Mixed Martial Arts Group Limited Ordinary Shares",$0.552,0.0303,5.808%,17,173,885,"",,,"",""
APUS,"Apimeds Pharmaceuticals US, Inc. Common Stock",$1.36,-0.01,-0.73%,17,103,337,"",,,"",""
AIRI,"Air Industries Group Common Stock",$3.44,UNCH,--,16,428,673,"",,,"",""
BGI,"Birks Group Inc. Common Stock",$0.773,0.003,0.39%,15,146,693,"",,,"",""
TOPP,"Toppoint Holdings Inc. Common Stock",$0.754,-0.013,-1.695%,14,627,600,"",,,"",""
AMS,"American Shared Hospital Services Common Stock",$2.14,0.01,0.469%,14,002,020,"",,,"",""
UUU,"Universal Safety Products, Inc. Common Stock",$5.00,0.27,5.708%,13,588,935,"",,,"",""
CVR,"Chicago Rivet & Machine Co. Common Stock",$14.00,-0.26,-1.823%,13,525,848,"",,,"",""
BRN,"Barnwell Industries, Inc. Common Stock",$1.05,0.04,3.96%,13,194,630,"",,,"",""
AMZE,"Amaze Holdings, Inc. Common Stock",$0.3684,-0.0066,-1.76%,13,131,870,"",,,"",""
BESS,"Bimergen Energy Corporation Common Stock",$2.98,-0.37,-11.045%,11,714,100,"",,,"",""
PMNT,"Perfect Moment Ltd. Common Stock",$0.2466,-0.0015,-0.605%,11,558,389,"",,,"",""
KAPA,"Kairos Pharma, Ltd. Common Stock",$0.5523,-0.0764,-12.152%,11,499,633,"",,,"",""
MWG,"Multi Ways Holdings Limited Class A Ordinary Shares",$2.19,-0.08,-3.524%,11,260,980,"",,,"",""
YCBD,"cbdMD, Inc. Common Stock",$0.9894,0.0094,0.959%,10,384,308,"",,,"",""
AWX,"Avalon Holdings Corporation Common Stock",$2.63,0.01,0.382%,10,255,504,"",,,"",""
IHT,"InnSuites Hospitality Trust Shares of Beneficial Interest",$1.0932,0.0332,3.132%,10,062,725,"",,,"",""
MSN,"Emerson Radio Corporation Common Stock",$0.4077,0.0093,2.334%,8,579,089,"",,,"",""
DSS,"DSS, Inc. Common Stock",$0.8989,-0.0155,-1.695%,8,173,264,"",,,"",""
PHGE,"BiomX Inc. COmmon Stock",$4.57,-0.02,-0.436%,7,283,223,"",,,"",""
TOVX,"Theriva Biologics, Inc. Common Stock",$0.197,-0.0028,-1.401%,7,030,605,"",,,"",""
MITQ,"Moving iMage Technologies, Inc. Common Stock",$0.6381,0.0422,7.082%,6,345,978,"",,,"",""
CLDI,"Calidi Biotherapeutics, Inc. Common Stock",$0.846,0.026,3.171%,6,063,892,"",,,"",""
HCWC,"Healthy Choice Wellness Corp. Class A Common Stock",$0.3322,-0.0129,-3.738%,6,034,662,"",,,"",""
AMBO,"Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares)",$1.99,-0.19,-8.716%,5,692,041,"",,,"",""
SYNX,"Silynxcom Ltd. Ordinary Shares",$1.04,UNCH,--,5,498,461,"",,,"",""
SOAR,"Volato Group, Inc. Class A Common Stock",$0.3059,-0.0099,-3.135%,4,775,205,"",,,"",""
TPET,"Trio Petroleum Corp. Common Stock",$0.38,-0.0085,-2.188%,4,674,286,"",,,"",""
GBR,"New Concept Energy, Inc Common Stock",$0.796,-0.0064,-0.798%,4,085,019,"",,,"",""
AIM,"AIM ImmunoTech Inc. Common Stock",$0.99,-0.03,-2.941%,3,943,708,"",,,"",""
NCL,"Northann Corp. Common Stock",$0.17,-0.011,-6.077%,3,866,328,"",,,"",""
MTNB,"Matinas Biopharma Holdings, Inc. Common Stock",$0.6015,-0.0011,-0.183%,3,853,324,"",,,"",""
OGEN,"Oragenics Inc. Common Stock",$0.8798,0.0878,11.086%,3,752,512,"",,,"",""
ITP,"IT Tech Packaging, Inc. Common Stock",$0.204,-0.0014,-0.682%,3,460,946,"",,,"",""
BQ,"Boqii Holding Limited Class A Ordinary Shares",$1.21,0.03,2.542%,3,375,532,"",,,"",""
PW,"Power REIT (MD) Common Stock",$0.895,0.015,1.705%,3,033,747,"",,,"",""
CPHI,"China Pharma Holdings, Inc. Common Stock",$0.5661,0.0082,1.47%,2,842,955,"",,,"",""
VTAK,"Catheter Precision, Inc. Common Stock",$1.63,UNCH,--,2,719,451,"",,,"",""
SGN,"Signing Day Sports, Inc. Common Stock",$0.632,-0.0104,-1.619%,2,675,118,"",,,"",""
AZTR,"Azitra Inc Common Stock",$0.182,-0.001,-0.546%,1,954,807,"",,,"",""
SBEV,"Splash Beverage Group, Inc. (NV) Common Stock",$0.539,0.0692,14.73%,1,566,546,"",,,"",""
DXF,"Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60,000) Ordinary Shares)",$1.11,0.0399,3.729%,1,540,619,"",,,"",""
BCHT,"Birchtech Corp. Common Stock",$2.40,-0.5195,-17.794%,NA,"",,,"",""
BCV,"Bancroft Fund, Ltd.",$23.17,-0.29,-1.236%,NA,"",,,"",""
BCV^A,"Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares",$21.96,-0.0004,-0.002%,NA,"",,,"",""
CIK,"Credit Suisse Asset Management Income Fund, Inc. Common Stock",$2.72,-0.02,-0.73%,NA,"",,,"",""
CLM,"Cornerstone Strategic Investment Fund, Inc. Common Shares",$7.72,-0.20,-2.525%,NA,"",,,"",""
CRF,"Cornerstone Total Return Fund, Inc. (The) Common Stock",$7.36,-0.14,-1.867%,NA,"",,,"",""
